kode_bps,provinsi,ibukota,region,penduduk,luas_km2,kepadatan_km2,ipm,kemiskinan_persen,islam_persen,kristen_persen,katolik_persen,hindu_persen,buddha_persen,suku_mayoritas
11,Aceh,Banda Aceh,Sumatera,5519400,58376,95,73.81,14.23,98.57,1.18,0.11,0.01,0.13,"Aceh, Gayo, Alas, Tamiang"
12,Sumatera Utara,Medan,Sumatera,15471500,72981,212,75.13,7.99,66.42,27.24,4.31,0.11,1.92,"Batak (Toba, Karo, Mandailing), Jawa, Nias, Melayu"
13,Sumatera Barat,Padang,Sumatera,5788400,42013,138,76.22,5.95,97.48,1.45,0.98,0.01,0.08,"Minangkabau, Mentawai, Jawa"
14,Riau,Pekanbaru,Sumatera,6954200,87024,80,75.64,6.67,87.79,9.42,1.05,0.01,1.73,"Melayu, Jawa, Minangkabau, Batak"
15,Jambi,Jambi,Sumatera,3724800,50058,74,73.73,7.58,95.12,3.14,0.63,0.01,1.1,"Melayu Jambi, Jawa, Kerinci, Minangkabau"
16,Sumatera Selatan,Palembang,Sumatera,8872400,91592,97,73.18,11.78,94.24,1.02,0.58,0.81,3.35,"Melayu Palembang, Jawa, Komering, Ogan, Pasemah"
17,Bengkulu,Bengkulu,Sumatera,2091400,19919,105,73.12,14.04,97.29,1.65,0.42,0.23,0.41,"Rejang, Jawa, Serawai, Melayu Lembak, Minangkabau"
18,Lampung,Bandar Lampung,Sumatera,9324700,34624,269,72.48,10.69,96.08,1.41,0.88,1.45,0.18,"Jawa, Lampung, Sunda, Batak"
19,Kepulauan Bangka Belitung,Pangkalpinang,Sumatera,1532800,16424,93,74.09,4.55,89.92,2.08,1.34,0.08,3.42,"Melayu Bangka/Belitung, Tionghoa, Jawa"
21,Kepulauan Riau,Tanjungpinang,Sumatera,2314600,8202,282,79.68,5.37,78.43,11.95,2.45,0.05,7.12,"Melayu, Jawa, Tionghoa, Batak, Minangkabau"
31,DKI Jakarta,Jakarta,Jawa,10682000,664,16087,83.55,4.3,83.68,8.54,3.96,0.19,3.63,"Jawa, Betawi, Sunda, Tionghoa, Batak"
32,Jawa Barat,Bandung,Jawa,50345200,35378,1423,74.61,7.27,97.12,1.78,0.58,0.04,0.48,"Sunda, Jawa, Betawi, Cirebon"
33,Jawa Tengah,Semarang,Jawa,37894000,32801,1155,73.39,10.47,96.82,1.62,1.25,0.04,0.27,"Jawa, Sunda, Tionghoa"
34,DI Yogyakarta,Yogyakarta,Jawa,3762200,3133,1201,81.09,10.83,92.83,2.38,4.52,0.09,0.18,"Jawa, Sunda, Tionghoa"
35,Jawa Timur,Surabaya,Jawa,41825000,47803,875,74.65,9.79,96.89,1.68,0.68,0.27,0.48,"Jawa, Madura, Osing, Tengger"
36,Banten,Serang,Jawa,12453000,9663,1289,75.25,5.84,94.67,2.58,1.18,0.09,1.48,"Banten, Sunda, Betawi, Jawa, Baduy"
51,Bali,Denpasar,BaliNusa,4433000,5780,767,78.01,3.8,10.12,1.62,0.85,86.65,0.76,"Bali, Jawa, Sasak"
52,Nusa Tenggara Barat,Mataram,BaliNusa,5565000,18572,300,70.2,12.91,96.84,0.28,0.19,2.45,0.24,"Sasak, Bima (Mbojo), Sumbawa (Samawa)"
53,Nusa Tenggara Timur,Kupang,BaliNusa,5642000,48718,116,68.4,19.48,9.35,36.42,53.56,0.11,0.02,"Atoni, Manggarai, Sumba, Rote, Flores, Dawan"
61,Kalimantan Barat,Pontianak,Kalimantan,5621000,147307,38,70.47,6.71,60.14,11.45,22.88,0.12,5.41,"Dayak, Melayu, Tionghoa, Jawa, Madura"
62,Kalimantan Tengah,Palangka Raya,Kalimantan,2772000,153564,18,73.73,5.17,74.31,16.64,3.12,5.82,0.11,"Dayak (Ngaju, Ot Danum), Banjar, Jawa"
63,Kalimantan Selatan,Banjarbaru,Kalimantan,4235000,38744,109,74.66,4.11,97.02,1.34,0.52,0.54,0.58,"Banjar, Jawa, Dayak Bakumpai/Meratus, Bugis"
64,Kalimantan Timur,Samarinda,Kalimantan,4032000,129066,31,78.2,5.78,87.34,7.55,4.28,0.24,0.59,"Jawa, Bugis, Banjar, Dayak (Kutai, Kenyah)"
65,Kalimantan Utara,Tanjung Selor,Kalimantan,741000,75468,10,72.88,6.32,73.52,20.25,5.82,0.08,0.33,"Tidung, Dayak (Lun Bawang, Kenyah), Bugis, Jawa"
71,Sulawesi Utara,Manado,Sulawesi,2682000,13856,194,75.44,7.0,31.84,62.92,4.48,0.58,0.18,"Minahasa, Bolaang Mongondow, Sangihe, Talaud"
72,Sulawesi Tengah,Palu,Sulawesi,3125000,61841,51,71.74,11.77,78.92,15.82,0.98,4.18,0.1,"Kaili, Bugis, Kulawi, Pamona, Banggai"
73,Sulawesi Selatan,Makassar,Sulawesi,9465000,46717,203,74.12,8.06,90.08,7.54,1.76,0.6,0.22,"Bugis, Makassar, Toraja, Mandar"
74,Sulawesi Tenggara,Kendari,Sulawesi,2795000,38067,73,72.82,11.21,95.78,1.68,0.58,1.94,0.02,"Tolaki, Buton, Muna, Bugis"
75,Gorontalo,Gorontalo,Sulawesi,1242000,11257,110,70.81,14.57,98.12,1.48,0.1,0.28,0.02,"Gorontalo, Suwawa, Minahasa"
76,Sulawesi Barat,Mamuju,Sulawesi,1485000,16787,88,69.8,11.21,82.64,14.28,1.15,1.91,0.02,"Mandar, Toraja, Bugis, Mamasa"
81,Maluku,Ambon,MalukuPapua,1928000,46914,41,72.75,16.05,52.84,40.12,6.88,0.11,0.05,"Ambon, Kei, Tanimbar, Seram"
82,Maluku Utara,Sofifi,MalukuPapua,1362000,31982,43,71.28,6.32,75.38,23.95,0.58,0.02,0.07,"Ternate, Tidore, Galela, Tobelo, Makian"
91,Papua,Jayapura,MalukuPapua,1072000,81049,13,62.4,26.03,25.42,68.21,6.12,0.18,0.07,"Sentani, Biak, Yapen, Tobati, Dani"
92,Papua Barat,Manokwari,MalukuPapua,572000,64125,9,67.24,21.08,41.24,50.85,7.68,0.12,0.11,"Arfak, Doreri, Hatam, Moile"
93,Papua Selatan,Merauke,MalukuPapua,534000,131493,4,66.11,21.94,28.52,22.45,48.88,0.11,0.04,"Marind, Asmat, Mandobo, Muyu, Jawa"
94,Papua Tengah,Nabire,MalukuPapua,1452000,66129,22,59.82,32.14,18.24,58.45,23.18,0.08,0.05,"Mee, Moni, Amungme, Kamoro, Dani"
95,Papua Pegunungan,Wamena,MalukuPapua,1461000,52316,28,56.52,29.66,6.22,89.14,4.58,0.03,0.03,"Dani, Lani, Yali, Nduga"
96,Papua Barat Daya,Sorong,MalukuPapua,624000,39167,16,68.32,18.52,42.14,50.12,7.48,0.14,0.12,"Moi, Maybrat, Tehit, Biak, Bugis"
